benchmark_id,split,dataset_id,system_id,metric,replay_value,chapter10a_value,absolute_delta,tolerance,status
locked,locked_benchmark,credit_card_fraud,mean_ensemble,accuracy,0.9993328885923949,0.9993328885923949,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,precision,0.9411764705882353,0.9411764705882353,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,recall,0.6530612244897959,0.6530612244897959,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,f1,0.7710843373493975,0.7710843373493975,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,roc_auc,0.9616097986746752,0.9616097986746752,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,false_positive_rate,7.034327518289252e-05,7.034327518289252e-05,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,false_negative_rate,0.3469387755102041,0.3469387755102041,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,balanced_accuracy,0.8264954406073065,0.8264954406073065,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,mean_ensemble,calibration_error,0.00023821103554914048,0.00023821103554914054,5.421010862427522e-20,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,accuracy,0.999403110845827,0.999403110845827,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,precision,0.9444444444444444,0.9444444444444444,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,recall,0.6938775510204082,0.6938775510204082,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,f1,0.7999999999999999,0.7999999999999999,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,roc_auc,0.9650889196421394,0.9650889196421394,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,false_positive_rate,7.034327518289252e-05,7.034327518289252e-05,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,false_negative_rate,0.30612244897959184,0.30612244897959184,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,balanced_accuracy,0.8469036038726127,0.8469036038726127,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,static_weighted_ensemble,calibration_error,0.00036438558755340193,0.00036438558755340193,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,accuracy,0.9993328885923949,0.9993328885923949,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,precision,0.9411764705882353,0.9411764705882353,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,recall,0.6530612244897959,0.6530612244897959,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,f1,0.7710843373493975,0.7710843373493975,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,roc_auc,0.9616097986746752,0.9616097986746752,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,false_positive_rate,7.034327518289252e-05,7.034327518289252e-05,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,false_negative_rate,0.3469387755102041,0.3469387755102041,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,balanced_accuracy,0.8264954406073065,0.8264954406073065,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,veto_mavs,calibration_error,0.00023821103554914048,0.00023821103554914054,5.421010862427522e-20,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,accuracy,0.9993679997191109,0.9993679997191109,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,precision,0.9696969696969697,0.9696969696969697,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,recall,0.6530612244897959,0.6530612244897959,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,f1,0.7804878048780488,0.7804878048780488,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,roc_auc,0.9616112342517198,0.9616112342517198,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,false_positive_rate,3.517163759144626e-05,3.517163759144626e-05,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,false_negative_rate,0.3469387755102041,0.3469387755102041,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,balanced_accuracy,0.8265130264261022,0.8265130264261022,0.0,1e-12,pass
locked,locked_benchmark,credit_card_fraud,pure_mavs_gc,calibration_error,0.00024089796156892505,0.00024089796156892505,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,accuracy,0.9044459190444591,0.9044459190444591,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,precision,0.6109839816933639,0.6109839816933639,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,recall,0.504725897920605,0.504725897920605,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,f1,0.5527950310559007,0.5527950310559007,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,roc_auc,0.934241119289619,0.934241119289619,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,false_positive_rate,0.042585170340681364,0.042585170340681364,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,false_negative_rate,0.4952741020793951,0.4952741020793951,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,balanced_accuracy,0.7310703637899618,0.7310703637899618,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,single_model,calibration_error,0.011144106556335224,0.011144106556335224,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,accuracy,0.9082061490820615,0.9082061490820615,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,precision,0.6619318181818182,0.6619318181818182,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,recall,0.44045368620037806,0.44045368620037806,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,f1,0.5289443813847899,0.5289443813847899,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,roc_auc,0.933755507233749,0.933755507233749,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,false_positive_rate,0.029809619238476952,0.029809619238476952,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,false_negative_rate,0.5595463137996219,0.5595463137996219,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,mean_ensemble,balanced_accuracy,0.7053220334809506,0.7053220334809506,0.0,1e-12,pass
