split_label,dataset_id,system_id,corruption_family,seed_role,metric,directionality,area,levels,area_hash
locked,adult_income,mean_ensemble,feature_noise,shadow,unsafe_acceptance_rate,lower_is_better,0.05847913862718708,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,5c409d107d4733b1fcaa618e5d2f39caae0fbdc0961c19fb8aab2a81855a8843
locked,adult_income,mean_ensemble,feature_noise,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,552fc8b3a54b06e53fb31332197b47d54263289b59fc34824297d0d4bd32dd0a
locked,adult_income,mean_ensemble,feature_noise,shadow,rejection_rate,context_dependent,0.8241374897624898,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,99a59275a780e992d197d368eaf03d11299b9c0c50322043186a8c7711a5b276
audit,adult_income,mean_ensemble,label_noise,audit,accuracy,higher_is_better,0.8566748566748567,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,7d08f1c1c4a4a9d330cdb3ef62934cbef3c77982a1c3cb1f1cefe9eb1923e60e
audit,adult_income,mean_ensemble,label_noise,audit,f1,higher_is_better,0.6777163904235726,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,bd44717a8724dd3aba0122db6c693477ac2801ead3536061fd9d724948809121
audit,adult_income,mean_ensemble,label_noise,audit,unsafe_acceptance_rate,lower_is_better,0.0721205597416577,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,6050bf044bf24807a438d5bd899ab8af15495d94235da3f62d9086ea42501efc
audit,adult_income,mean_ensemble,label_noise,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,25b8c57f8cef66e6415d5d704cb20d536b76cc4bdd72fa190c7a42d412ef4a9c
audit,adult_income,mean_ensemble,label_noise,audit,rejection_rate,context_dependent,0.7944307944307945,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,4ae7bf9f110d19549cbe2adad022f182973c108b0cf74dda3e9f2f271727466a
audit,adult_income,mean_ensemble,label_noise,shadow,accuracy,higher_is_better,0.8566748566748567,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,52c7cec9c1526ee150e88aad7689cebefaf8f7a2f205cb9221b86e4228e45aa1
audit,adult_income,mean_ensemble,label_noise,shadow,f1,higher_is_better,0.6777163904235726,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,5ba20170b6995a8a46c2d6e81bd44b961d03dcdc06329313cf95b7387f70165d
audit,adult_income,mean_ensemble,label_noise,shadow,unsafe_acceptance_rate,lower_is_better,0.0721205597416577,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,cc93ca8f7d03f0a72fd3a9adc9289544cc60effda245e3999317d2454f7c85bc
audit,adult_income,mean_ensemble,label_noise,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a9399eed7677b8592e65e056dbb80148f4f405b4c7d8520ddadec4b60ac6b58a
audit,adult_income,mean_ensemble,label_noise,shadow,rejection_rate,context_dependent,0.7944307944307945,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,5984b5ccb1d9f6e174c743f9b22fde81014378e297bdfd81d5691438e3af92f9
locked,adult_income,mean_ensemble,label_noise,primary,accuracy,higher_is_better,0.8634316134316135,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,025f0215cd7a8ef20dc50b48967a5c7e57f70a9b994fa80f844140521b0d3923
locked,adult_income,mean_ensemble,label_noise,primary,f1,higher_is_better,0.6878802058961161,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,c5050f4e78d72a030f0e26f6bc625ac692f7cf3754c6f4a4ad42c2c1328d6e37
